experiment_id,date,method,change,score,basic_mean_j,cooperation_mean_j,basic_collision,cooperation_collision,status,output
E001,2026-09-23,template_ppo,official copied baseline,66.666667,0.000000,0.133333,0.000000,0.000000,ok,outputs/P007/eval
E002,2026-09-23,rule_v1,local auction assignment plus PD pursuit search waypoints and avoidance,183.333333,0.083333,0.283333,0.000000,0.000000,ok,outputs/P007/rule-v1-eval
E003,2026-09-23,rule_v2_history,add four-step target memory smoothed velocity prediction and boundary reflection,183.333333,0.083333,0.283333,0.000000,0.000000,ok,outputs/P007/rule-v2-history-eval
E004,2026-09-23,rule_v3_no_fallback,remove nearest-visible fallback after losing target auction,183.333333,0.083333,0.283333,0.000000,0.000000,ok,outputs/P007/rule-v3-no-fallback-eval
E005,2026-09-23,rule_v4_gain7,increase pursuit direction gain from 5.0 to 7.0,183.333333,0.083333,0.283333,0.000000,0.000000,ok,outputs/P007/e005-gain7-eval
E006,2026-09-23,rule_v5_damping0,reduce far pursuit velocity damping from 0.35 to 0.0,183.333333,0.083333,0.283333,0.000000,0.000000,ok,outputs/P007/e006-damping0-eval
E007,2026-09-23,rule_v6_axis_clip,clip x and y pursuit commands independently instead of limiting direction magnitude,216.666667,0.100000,0.333333,0.000000,0.000000,ok,outputs/P007/e007-axis-clip-eval
E008,2026-09-24,grid_sequence,5x5 sensed-cell memory with fixed owned-cell order,213.333333,0.093333,0.333333,0.033333,0.000000,ok,outputs/P007/e008-grid-sequence-public
E009,2026-09-24,grid_utility,select owned search cell by novelty minus 0.35 times distance,216.666667,0.100000,0.333333,0.000000,0.000000,ok,outputs/P007/e009-grid-utility-public
E010,2026-09-24,grid_peer_overlap,add visible-peer sensing-overlap penalty to grid utility,216.666667,0.100000,0.333333,0.000000,0.000000,ok,outputs/P007/e010-peer-overlap-public
E011,2026-09-24,grid_age_recovery,restore observed-cell novelty linearly over five steps,216.666667,0.100000,0.333333,0.000000,0.000000,ok,outputs/P007/e011-age-recovery-public
